CP_OPNG_YMD,CP_DOC_NM,CP_ISSUED_SAR_NM,CP_ISSUED_NORTH_AREA_NM,CP_ISSUED_SOUTH_AREA_NM,CP_OBVP_NM,CP_OBVP_LAT,CP_OBVP_LON,CP_WTEM,CP_ISSUED_STEP_NM,CP_ISSUED_SITTN_NM,CP_ISSUED_YMD,CP_ISSUED_TM,CP_WTCH_YMD,CP_WTCH_TM
20130618,제4317호,동해 중부,주문진,영덕,주문진,37.8333,128.8944,18.5,,,,,20130618,130000
20130618,제4317호,동해 중부,주문진,영덕,삼척,37.3023,129.3127,13,주의보,신규발령,20130618,140000,20130618,130000
20130618,제4317호,동해 중부,주문진,영덕,영덕(거무역),36.5799,129.4138,14.2,주의보,신규발령,20130618,140000,20130618,130000
20130618,제4317호,동해 남부,포항,부산(오륙도),포항,36.0472,129.4361,20.4,,,,,20130618,130000
20130618,제4317호,동해 남부,포항,부산(오륙도),기장,35.1872,129.2264,17.8,,,,,20130618,130000
20130618,제4317호,동해 남부,포항,부산(오륙도),부산(오륙도),35.0833,129.032,18.2,,,,,20130618,130000
20130626,제4324호,동해 중부,주문진,영덕,삼척,37.3023,129.3127,10.1,주의보,발령,20130618,,20130626,130000
20130626,제4324호,동해 중부,주문진,영덕,주문진,37.8333,128.8944,21.1,,,,,20130626,130000
20130626,제4324호,동해 중부,주문진,영덕,울진,36.99176,129.41278,14.5,주의보,신규발령,20130626,170000,20130626,130000
20130626,제4324호,동해 중부,주문진,영덕,영덕(거무역),36.5799,129.4138,16.1,주의보,발령,20130618,,20130626,130000
20130626,제4324호,동해 남부,포항,포항,포항,36.0472,129.4361,22.8,,,,,20130626,130000
20130703,제4329호,동해 남부,호미곶,포항,호미곶,36.0764,129.575,14.5,주의보,신규발령,20130703,130000,20130703,100000
20130703,제4329호,동해 남부,호미곶,포항,포항,36.0472,129.4361,14,주의보,신규발령,20130703,130000,20130703,100000
20130703,제4329호,동해 남부,호미곶,포항,영덕,36.5799,129.4138,6.3,주의보,발령,20130618,,20130703,100000
