CP_OPNG_YMD,CP_DOC_NM,CP_ISSUED_SAR_NM,CP_ISSUED_NORTH_AREA_NM,CP_ISSUED_SOUTH_AREA_NM,CP_OBVP_NM,CP_OBVP_LAT,CP_OBVP_LON,CP_WTEM,CP_ISSUED_STEP_NM,CP_ISSUED_SITTN_NM,CP_ISSUED_YMD,CP_ISSUED_TM,CP_WTCH_YMD,CP_WTCH_TM
20230602,제6412호,동해 중부,고성 봉포,삼척,고성 봉포,38.2267,128.626,16.1,주의보,발령,20230525,,20230602,93000
20230602,제6412호,동해 중부,고성 봉포,삼척,양양,38.0808,128.6998,13.6,주의보,발령,20230525,,20230602,93000
20230602,제6412호,동해 중부,고성 봉포,삼척,강릉,37.799,128.9492,12.5,주의보,발령,20230525,,20230602,93000
20230602,제6412호,동해 중부,고성 봉포,삼척,삼척,37.3023,129.3127,9.1,주의보,발령,20230525,,20230602,93000
20230602,제6412호,동해 중부,삼척,영덕,울진 나곡,37.1191,129.3958,13.6,주의보,신규발령,20230602,100000,20230602,93000
20230602,제6412호,동해 중부,삼척,영덕,울진 덕천,37.1,129.4041,12.6,주의보,신규발령,20230602,100000,20230602,93000
20230602,제6412호,동해 중부,삼척,영덕,온양,37.0194,129.425,12.5,주의보,신규발령,20230602,100000,20230602,93000
20230602,제6412호,동해 중부,삼척,영덕,울진 후포,36.7192,129.4881,18,주의보,신규발령,20230602,100000,20230602,93000
20230602,제6412호,동해 중부,삼척,영덕,영덕,36.5737,129.437,14.5,주의보,신규발령,20230602,100000,20230602,93000
20230602,제6412호,동해 남부,포항 월포,구룡포 하정,포항 월포,36.2169,129.4017,18,,,,,20230602,93000
20230602,제6412호,동해 남부,포항 월포,구룡포 하정,구룡포 하정,35.9607,129.5497,18.3,,,,,20230602,93000
20230607,제6417호,동해 중부,고성 봉포,영덕,고성 봉포,38.2267,128.626,17.4,주의보,발령,20230525,,20230607,83000
20230607,제6417호,동해 중부,고성 봉포,영덕,양양,38.0808,128.6998,17.3,주의보,발령,20230525,,20230607,83000
20230607,제6417호,동해 중부,고성 봉포,영덕,강릉,37.799,128.9492,15.6,주의보,발령,20230525,,20230607,83000
20230607,제6417호,동해 중부,고성 봉포,영덕,삼척,37.3023,129.3127,11.5,주의보,발령,20230525,,20230607,83000
20230607,제6417호,동해 중부,고성 봉포,영덕,울진 나곡,37.1191,129.3958,12.7,주의보,발령,20230602,,20230607,83000
20230607,제6417호,동해 중부,고성 봉포,영덕,울진 덕천,37.1,129.4041,13.1,주의보,발령,20230602,,20230607,83000
20230607,제6417호,동해 중부,고성 봉포,영덕,온양,37.0194,129.425,12.1,주의보,발령,20230602,,20230607,83000
20230607,제6417호,동해 중부,고성 봉포,영덕,울진 후포,36.7192,129.4881,19.2,주의보,발령,20230602,,20230607,83000
20230607,제6417호,동해 중부,고성 봉포,영덕,영덕,36.5737,129.437,17.9,주의보,발령,20230602,,20230607,83000
20230607,제6417호,동해 남부,포항 월포,부산 기장,포항 월포,36.2169,129.4017,18,주의보,신규발령,20230607,103000,20230607,83000
20230607,제6417호,동해 남부,포항 월포,부산 기장,구룡포 하정,35.9607,129.5497,15.8,주의보,신규발령,20230607,103000,20230607,83000
20230607,제6417호,동해 남부,포항 월포,부산 기장,진하,35.3847,129.368,16.4,주의보,신규발령,20230607,103000,20230607,83000
20230607,제6417호,동해 남부,포항 월포,부산 기장,울산 간절곶,35.3669,129.375,16.6,주의보,신규발령,20230607,103000,20230607,83000
20230607,제6417호,동해 남부,포항 월포,부산 기장,부산 고리,35.3186,129.3147,16.9,주의보,신규발령,20230607,103000,20230607,83000
20230607,제6417호,동해 남부,포항 월포,부산 기장,부산 기장,35.1872,129.2264,15.8,주의보,신규발령,20230607,103000,20230607,83000
20230614,제6420호,동해 중부,고성 봉포,영덕,고성 봉포,38.2267,128.626,18.2,주의보,해제,20230614,90000,20230614,90000
20230614,제6420호,동해 중부,고성 봉포,영덕,양양,38.0808,128.6998,17.9,주의보,해제,20230614,90000,20230614,90000
20230614,제6420호,동해 중부,고성 봉포,영덕,강릉,37.799,128.9492,18.2,주의보,해제,20230614,90000,20230614,90000
20230614,제6420호,동해 중부,고성 봉포,영덕,삼척,37.3023,129.3127,18.4,주의보,해제,20230614,90000,20230614,90000
20230614,제6420호,동해 중부,고성 봉포,영덕,울진 나곡,37.1191,129.3958,17.5,주의보,해제,20230614,90000,20230614,90000
20230614,제6420호,동해 중부,고성 봉포,영덕,울진 덕천,37.1,129.4041,17.4,주의보,해제,20230614,90000,20230614,90000
20230614,제6420호,동해 중부,고성 봉포,영덕,온양,37.0194,129.425,16.4,주의보,해제,20230614,90000,20230614,90000
20230614,제6420호,동해 중부,고성 봉포,영덕,울진 후포,36.7192,129.4881,18.1,주의보,해제,20230614,90000,20230614,90000
20230614,제6420호,동해 중부,고성 봉포,영덕,영덕,36.5737,129.437,17.7,주의보,해제,20230614,90000,20230614,90000
20230614,제6420호,동해 남부,포항 월포,부산 기장,포항 월포,36.2169,129.4017,19.3,주의보,해제,20230614,90000,20230614,90000
20230614,제6420호,동해 남부,포항 월포,부산 기장,구룡포 하정,35.9607,129.5497,18.3,주의보,해제,20230614,90000,20230614,90000
