OBVP_NM,OBVP_DATE,OBVP_DEPT,MEAN_TEMP,MAX_TEMP,최저 수온(℃),MID_TEMP,STD_TEMP,OBVP_LON,OBVP_LAT
삼척(bsc87),2023-06-01,표층,7.5,9.9,6,7.2,1,37.3023,129.3127
기장(bgj8a),2023-06-01,표층,17.8,18.1,17.4,17.8,0.2,35.187,129.227
영덕(byd8a),2023-06-01,표층,16,17.2,14.7,15.8,0.7,36.5737,129.437
영덕(byd8a),2023-06-02,표층,15.5,17.4,14.1,15.3,1.1,36.5737,129.437
삼척(bsc87),2023-06-02,표층,8.5,10,6,8.6,1.1,37.3023,129.3127
기장(bgj8a),2023-06-02,표층,17.7,18.3,17.2,17.7,0.2,35.187,129.227
삼척(bsc87),2023-06-03,표층,10.2,12.2,7.7,10.2,1.1,37.3023,129.3127
기장(bgj8a),2023-06-03,표층,18,18.7,17.4,18,0.3,35.187,129.227
영덕(byd8a),2023-06-03,표층,17.9,18.6,17.3,17.9,0.3,36.5737,129.437
삼척(bsc87),2023-06-04,표층,10.7,13.2,8.1,10.9,1.4,37.3023,129.3127
기장(bgj8a),2023-06-04,표층,17.3,18.1,16.3,17.3,0.4,35.187,129.227
영덕(byd8a),2023-06-04,표층,18.5,19,18,18.6,0.3,36.5737,129.437
기장(bgj8a),2023-06-05,표층,16.8,17.3,16.2,16.9,0.3,35.187,129.227
삼척(bsc87),2023-06-05,표층,11.3,12.9,10,11.2,0.7,37.3023,129.3127
영덕(byd8a),2023-06-05,표층,18.2,19.1,15.8,18.4,0.8,36.5737,129.437
삼척(bsc87),2023-06-06,표층,11.9,13.6,10.3,11.9,1,37.3023,129.3127
영덕(byd8a),2023-06-06,표층,17.8,18.6,15.8,18.1,0.7,36.5737,129.437
기장(bgj8a),2023-06-06,표층,16.4,17.1,15.9,16.4,0.3,35.187,129.227
기장(bgj8a),2023-06-07,표층,16.1,17.1,15.2,16.1,0.4,35.187,129.227
영덕(byd8a),2023-06-07,표층,17.2,18.7,14,17.7,1.2,36.5737,129.437
삼척(bsc87),2023-06-07,표층,11.8,13,10.3,11.7,0.7,37.3023,129.3127
기장(bgj8a),2023-06-08,표층,16,17.2,15.3,15.7,0.5,35.187,129.227
영덕(byd8a),2023-06-08,표층,16.9,18.7,15.4,16.9,1,36.5737,129.437
삼척(bsc87),2023-06-08,표층,12.9,15,11.2,13,0.9,37.3023,129.3127
삼척(bsc87),2023-06-09,표층,11.7,13.6,8.6,12.5,1.5,37.3023,129.3127
기장(bgj8a),2023-06-09,표층,16.1,17.1,15,16.1,0.4,35.187,129.227
영덕(byd8a),2023-06-09,표층,16.1,17.6,15,16.1,0.8,36.5737,129.437
삼척(bsc87),2023-06-10,표층,12.2,15.4,10.5,12.1,1,37.3023,129.3127
기장(bgj8a),2023-06-10,표층,16.2,17.4,15.3,15.9,0.6,35.187,129.227
영덕(byd8a),2023-06-10,표층,16,17.2,14.1,16.2,1,36.5737,129.437
삼척(bsc87),2023-06-11,표층,14.4,16,12.3,14.6,0.9,37.3023,129.3127
기장(bgj8a),2023-06-11,표층,16.7,18,15.9,16.7,0.5,35.187,129.227
영덕(byd8a),2023-06-11,표층,16.5,18,14.6,16.5,0.7,36.5737,129.437
영덕(byd8a),2023-06-12,표층,17.3,18.3,14.3,17.3,0.9,36.5737,129.437
기장(bgj8a),2023-06-12,표층,16.8,18.1,15.9,16.8,0.6,35.187,129.227
삼척(bsc87),2023-06-12,표층,15.8,16.8,15,15.8,0.5,37.3023,129.3127
삼척(bsc87),2023-06-13,표층,17,18,15.8,17,0.6,37.3023,129.3127
기장(bgj8a),2023-06-13,표층,17.7,18.7,16.3,17.8,0.7,35.187,129.227
영덕(byd8a),2023-06-13,표층,16.1,18.4,14.2,16.1,1.2,36.5737,129.437
기장(bgj8a),2023-06-14,표층,17.5,18.7,15.5,17.7,0.6,35.187,129.227
영덕(byd8a),2023-06-14,표층,17.2,18.4,14,17.5,1.1,36.5737,129.437
삼척(bsc87),2023-06-14,표층,18.4,19.1,17,18.6,0.5,37.3023,129.3127
삼척(bsc87),2023-06-15,표층,18.9,20,16.4,18.9,0.9,37.3023,129.3127
기장(bgj8a),2023-06-15,표층,18.3,19,17,18.4,0.5,35.187,129.227
영덕(byd8a),2023-06-15,표층,17.6,19,16.4,17.5,0.5,36.5737,129.437
기장(bgj8a),2023-06-16,표층,18.1,19,17,18,0.5,35.187,129.227
영덕(byd8a),2023-06-16,표층,17.9,19.2,16.9,17.9,0.5,36.5737,129.437
삼척(bsc87),2023-06-16,표층,19.2,19.9,16.9,19.5,0.8,37.3023,129.3127
영덕(byd8a),2023-06-17,표층,17.4,19.4,16.3,17.2,0.8,36.5737,129.437
삼척(bsc87),2023-06-17,표층,17.5,19.2,16.4,17,0.9,37.3023,129.3127
기장(bgj8a),2023-06-17,표층,17.2,17.9,15.7,17.3,0.5,35.187,129.227
영덕(byd8a),2023-06-18,표층,19.3,21.2,17,19.1,1.5,36.5737,129.437
삼척(bsc87),2023-06-18,표층,18.1,20.4,15.6,17.8,1.1,37.3023,129.3127
기장(bgj8a),2023-06-18,표층,16.7,18.4,15.6,16.6,0.7,35.187,129.227
영덕(byd8a),2023-06-19,표층,20.2,21,18.9,20.6,0.8,36.5737,129.437
삼척(bsc87),2023-06-19,표층,20.6,21.1,20.1,20.6,0.4,37.3023,129.3127
기장(bgj8a),2023-06-19,표층,18.1,20.9,16.3,17.7,1.2,35.187,129.227
영덕(byd8a),2023-06-20,표층,18.1,18.9,17.5,18.1,0.4,36.5737,129.437
기장(bgj8a),2023-06-20,표층,20.5,21.4,19.3,20.6,0.5,35.187,129.227
삼척(bsc87),2023-06-20,표층,17.4,20.3,11.9,18.9,2.8,37.3023,129.3127
영덕(byd8a),2023-06-21,표층,18.8,19.8,18,18.8,0.5,36.5737,129.437
기장(bgj8a),2023-06-21,표층,20.2,21,18.8,20.3,0.6,35.187,129.227
삼척(bsc87),2023-06-21,표층,14.1,18.4,11.9,13.6,1.7,37.3023,129.3127
영덕(byd8a),2023-06-22,표층,19.6,20.3,18.8,19.5,0.3,36.5737,129.437
삼척(bsc87),2023-06-22,표층,18.5,19,17.7,18.5,0.4,37.3023,129.3127
기장(bgj8a),2023-06-22,표층,19.2,20,18.2,19.2,0.4,35.187,129.227
삼척(bsc87),2023-06-23,표층,17.9,18.8,16.7,17.9,0.4,37.3023,129.3127
영덕(byd8a),2023-06-23,표층,20.4,20.7,19.9,20.3,0.2,36.5737,129.437
기장(bgj8a),2023-06-23,표층,18.8,20,17.5,18.8,0.5,35.187,129.227
삼척(bsc87),2023-06-24,표층,17.9,18.5,16.8,17.9,0.3,37.3023,129.3127
영덕(byd8a),2023-06-24,표층,20.8,21.8,20.6,20.7,0.3,36.5737,129.437
기장(bgj8a),2023-06-24,표층,19.4,20.6,17.6,19.4,0.6,35.187,129.227
삼척(bsc87),2023-06-25,표층,15.8,17.5,10.7,16.3,1.7,37.3023,129.3127
영덕(byd8a),2023-06-25,표층,21,21.4,19.8,21.1,0.3,36.5737,129.437
기장(bgj8a),2023-06-25,표층,20,20.8,18.8,20.1,0.4,35.187,129.227
삼척(bsc87),2023-06-26,표층,12.1,14.7,10.3,12.1,1.3,37.3023,129.3127
영덕(byd8a),2023-06-26,표층,20.5,21.5,19.2,20.4,0.7,36.5737,129.437
기장(bgj8a),2023-06-26,표층,18.6,20.8,16.8,18.7,1.1,35.187,129.227
영덕(byd8a),2023-06-27,표층,18.3,20,14.7,18.5,1.4,36.5737,129.437
기장(bgj8a),2023-06-27,표층,16.5,17.5,15,16.5,0.5,35.187,129.227
삼척(bsc87),2023-06-27,표층,14.5,16.7,10.9,14.2,1.6,37.3023,129.3127
기장(bgj8a),2023-06-28,표층,16.4,17.6,14.7,16.4,0.6,35.187,129.227
삼척(bsc87),2023-06-28,표층,16,17.7,13.9,16.2,0.9,37.3023,129.3127
영덕(byd8a),2023-06-28,표층,15.6,17.9,14.4,15.5,0.8,36.5737,129.437
기장(bgj8a),2023-06-29,표층,16.5,17.7,14.8,16.6,0.7,35.187,129.227
삼척(bsc87),2023-06-29,표층,16.6,18.6,15,16.7,1.1,37.3023,129.3127
영덕(byd8a),2023-06-29,표층,14.9,17.3,13.5,14.7,1,36.5737,129.437
기장(bgj8a),2023-06-30,표층,15.9,16.8,14.3,16.1,0.7,35.187,129.227
영덕(byd8a),2023-06-30,표층,16.5,19.7,13.5,17.2,1.8,36.5737,129.437
삼척(bsc87),2023-06-30,표층,18.2,19.4,16,18.6,1,37.3023,129.3127
